"account_type","action","activity_code","amount","as_of_date","check_number","commission","commission_in_gross","contra_broker","cusip","customer","description","effective_date","entry_date","exchange_rate","fees","from_location","front_exec","held_currency_code","interest","maturity_date","misc_fee","nfa_fee","order_number","output_currency_code","payee","price","principal","quantity","sales_credit","sec_fee","security_class_code","security_type","state_tax","symbol","tax_exempt_status","taxes","to_location","trade","transaction_date","user_defined_action"
"INVENTORY","Purchase","","-176575.5","","","0","Y","","429326N23","91APUN00","HIDALGO CNTY TEX CTFS OBLIG               2020","Wed, 14 Oct 2020 12:00:00 am EDT","Tue, 15 Sep 2020  9:22:08 pm EDT","1.00000","0","","","USD","0","","0","0","O0002F99","USD","","117.717","176575.5","150000","0","0","","FIXED","0","FIXED 429326N23","N/A","0","","Y","Tue, 15 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Purchase","","-258872","","","0","Y","","429326M57","91APUN00","HIDALGO CNTY TEX CTFS OBLIG               2020","Wed, 14 Oct 2020 12:00:00 am EDT","Tue, 15 Sep 2020  1:29:19 am EDT","1.00000","0","","","USD","0","","0","0","O0003F99","USD","","129.436","258872","200000","0","0","","FIXED","0","FIXED 429326M57","N/A","0","","Y","Tue, 15 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Purchase","","-176575.5","","","0","Y","","429326N23","91APUN00","HIDALGO CNTY TEX CTFS OBLIG               2020","Wed, 14 Oct 2020 12:00:00 am EDT","Tue, 15 Sep 2020  3:03:22 am EDT","1.00000","0","","","USD","0","","0","0","O0004F99","USD","","117.717","176575.5","150000","0","0","","FIXED","0","FIXED 429326N23","N/A","0","","Y","Tue, 15 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Purchase","","-258872","","","0","Y","","429326M57","91APUN00","HIDALGO CNTY TEX CTFS OBLIG               2020","Wed, 14 Oct 2020 12:00:00 am EDT","Tue, 15 Sep 2020  4:16:08 am EDT","1.00000","0","","","USD","0","","0","0","O0005F99","USD","","129.436","258872","200000","0","0","","FIXED","0","FIXED 429326M57","N/A","0","","Y","Tue, 15 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Purchase Cancellation","","176575.5","","","0","Y","","429326N23","91APUN00","HIDALGO CNTY TEX CTFS OBLIG               2020","Wed, 14 Oct 2020 12:00:00 am EDT","Fri, 16 Oct 2020  1:49:58 am EDT","1.00000","0","","","USD","0","","0","0","O0004F98","USD","","117.717","-176575.5","-150000","0","0","","FIXED","0","FIXED 429326N23","N/A","0","","Y","Tue, 15 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Purchase Cancellation","","176575.5","","","0","Y","","429326N23","91APUN00","HIDALGO CNTY TEX CTFS OBLIG               2020","Wed, 14 Oct 2020 12:00:00 am EDT","Fri, 16 Oct 2020  3:50:00 am EDT","1.00000","0","","","USD","0","","0","0","N7009F98","USD","","117.717","-176575.5","-150000","0","0","","FIXED","0","FIXED 429326N23","N/A","0","","Y","Tue, 15 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Purchase","","-176575.5","","","0","Y","","429326N23","91APUN00","HIDALGO CNTY TEX CTFS OBLIG               2020","Wed, 14 Oct 2020 12:00:00 am EDT","Fri, 16 Oct 2020  3:04:27 am EDT","1.00000","0","","","USD","0","","0","0","N7009F99","USD","","117.717","176575.5","150000","0","0","","FIXED","0","FIXED 429326N23","N/A","0","","Y","Tue, 15 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Purchase","","-176575.5","","","0","Y","","429326N23","91APUN00","HIDALGO CNTY TEX CTFS OBLIG               2020","Wed, 14 Oct 2020 12:00:00 am EDT","Fri, 16 Oct 2020  3:57:37 am EDT","1.00000","0","","","USD","0","","0","0","O7093F99","USD","","117.717","176575.5","150000","0","0","","FIXED","0","FIXED 429326N23","N/A","0","","Y","Tue, 15 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Sale","","177651","","","0","Y","","429326N23","91APUN00","HIDALGO CNTY TEX CTFS OBLIG               2020","Wed, 14 Oct 2020 12:00:00 am EDT","Thu, 17 Sep 2020  9:56:14 am EDT","1.00000","0","","","USD","0","","0","0","N0201F99","USD","","118.434","-177651","-150000","0","0","","FIXED","0","FIXED 429326N23","N/A","0","","Y","Thu, 17 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Purchase","","-78880.75","","","0","Y","","4140187X3","91APUN00","HARRIS CNTY TEX FLOOD CTL DIST IMPT REF BDS             2020A","Wed, 30 Sep 2020 12:00:00 am EDT","Fri, 18 Sep 2020 12:42:13 am EDT","1.00000","0","","","USD","0","","0","0","O0001F99","USD","","121.355","78880.75","65000","0","0","","FIXED","0","FIXED 4140187X3","N/A","0","","Y","Fri, 18 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Purchase","","-125000","","","0","Y","","539770LM7","91APUN00","LOCKHART TEX INDPT SCH DIST TAXABLE UNLTD TAX REF BD 2020","Thu, 15 Oct 2020 12:00:00 am EDT","Fri, 18 Sep 2020 10:45:26 pm EDT","1.00000","0","","","USD","0","","0","0","O0002F99","USD","","100","125000","125000","0","0","","FIXED","0","FIXED 539770LM7","N/A","0","","Y","Fri, 18 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Purchase Cancellation","","78880.75","","","0","Y","","4140187X3","91APUN00","HARRIS CNTY TEX FLOOD CTL DIST IMPT REF BDS             2020A","Wed, 30 Sep 2020 12:00:00 am EDT","Wed, 23 Sep 2020  7:17:16 am EDT","1.00000","0","","","USD","0","","0","0","O0001F98","USD","","121.355","-78880.75","-65000","0","0","","FIXED","0","FIXED 4140187X3","N/A","0","","Y","Fri, 18 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Purchase","","-78880.75","","","0","Y","","4140187X3","91APUN00","HARRIS CNTY TEX FLOOD CTL DIST IMPT REF BDS             2020A","Wed, 30 Sep 2020 12:00:00 am EDT","Wed, 23 Sep 2020  8:17:38 am EDT","1.00000","0","","","USD","0","","0","0","N7005F99","USD","","121.355","78880.75","65000","0","0","","FIXED","0","FIXED 4140187X3","N/A","0","","Y","Fri, 18 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Purchase Cancellation","","125000","","","0","Y","","539770LM7","91APUN00","LOCKHART TEX INDPT SCH DIST TAXABLE UNLTD TAX REF BD 2020","Thu, 15 Oct 2020 12:00:00 am EDT","Tue, 20 Oct 2020 11:35:25 am EDT","1.00000","0","","","USD","0","","0","0","O0002F98","USD","","100","-125000","-125000","0","0","","FIXED","0","FIXED 539770LM7","N/A","0","","Y","Fri, 18 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Purchase","","-125000","","","0","Y","","539770LM7","91APUN00","LOCKHART TEX INDPT SCH DIST TAXABLE UNLTD TAX REF BD 2020","Thu, 15 Oct 2020 12:00:00 am EDT","Tue, 20 Oct 2020 11:12:56 am EDT","1.00000","0","","","USD","0","","0","0","O7100F99","USD","","100","125000","125000","0","0","","FIXED","0","FIXED 539770LM7","N/A","0","","Y","Fri, 18 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Sale","","61126.83","","","0","N","","799561NC5","91APUN00","SAN YSIDRO CALIF SCH DIST ELECTION 2020-SER A-MEAS","Wed, 23 Sep 2020 12:00:00 am EDT","Mon, 21 Sep 2020 10:32:35 am EDT","1.00000","0","","","USD","33.33","","0","0","N0001F99","USD","","122.187","-61093.5","-50000","0","0","","FIXED","0","FIXED 799561NC5","N/A","0","","Y","Mon, 21 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Sale","","24563.11","","","0","N","","27183MCA9","91APUN00","EAST COLUMBIA BASIN IRR DIST W IMPT AND REF BDS         2016","Wed, 23 Sep 2020 12:00:00 am EDT","Mon, 21 Sep 2020  7:24:26 am EDT","1.00000","0","","VSIN","USD","311.11","","0","0","N0105F99","USD","","121.26","-24252","-20000","0","0","","FIXED","0","FIXED 27183MCA9","N/A","0","","Y","Mon, 21 Sep 2020 12:00:00 am EDT",""
